,entry_date,exit_date,entry_price,exit_price,direction,return,bars_held
108,2020-05-04,2020-05-11,70.90132141113281,76.39204406738281,1.0,0.0774417535099403,7
109,2020-05-21,2020-05-22,76.83824157714844,77.33297729492188,1.0,0.006438665274200796,1
110,2020-05-26,2020-05-27,76.80915069580078,77.14380645751953,1.0,0.004356977764851733,1
111,2020-06-04,2020-06-10,78.16476440429688,85.5660629272461,1.0,0.094688426164339,6
112,2020-06-11,2020-06-12,81.4580307006836,82.1612548828125,1.0,0.008632963209151148,1
113,2020-06-15,2020-06-16,83.17736053466797,85.38175201416016,1.0,0.02650230141137271,1
114,2020-06-22,2020-06-24,87.02837371826172,87.31695556640625,1.0,0.003315951290538436,2
115,2020-06-29,2020-07-16,87.73408508300781,93.62940979003906,1.0,0.06719537453947926,17
116,2020-07-20,2020-07-23,95.4094009399414,90.06214904785156,1.0,-0.05604533556872292,3
117,2020-07-27,2020-08-06,91.9682388305664,110.48845672607422,1.0,0.20137623739460436,10
118,2020-08-14,2020-08-21,111.66432189941406,120.85974884033203,1.0,0.08234883608751149,7
119,2020-08-25,2020-08-26,121.30191040039062,122.95149230957031,1.0,0.013598977161487271,1
120,2020-08-28,2020-08-31,121.28489685058594,125.39793395996094,1.0,0.033912195303607826,3
121,2020-09-14,2020-09-15,112.10405731201172,112.27897644042969,1.0,0.0015603282576216492,1
122,2020-09-28,2020-10-01,111.71533203125,113.49366760253906,1.0,0.015918455765692133,3
123,2020-10-02,2020-10-06,109.8301010131836,109.96615600585938,1.0,0.0012387769056085064,4
124,2020-10-07,2020-10-12,111.83197021484375,120.88890838623047,1.0,0.08098702145716617,5
125,2020-10-23,2020-10-27,111.79308319091797,113.30905151367188,1.0,0.013560484061120008,4
126,2020-10-28,2020-10-29,108.06146240234375,112.06519317626953,1.0,0.037050495939234526,1
127,2020-11-02,2020-11-05,105.7000503540039,115.67047882080078,1.0,0.09432756591320958,3
128,2020-11-10,2020-11-11,112.8912582397461,116.31781005859375,1.0,0.030352676303516086,1
129,2020-11-25,2020-11-27,112.9496841430664,113.49479675292969,1.0,0.004826154353586511,2
130,2020-12-18,2020-12-21,123.29745483398438,124.8257827758789,1.0,0.012395454098808207,3
131,2021-01-21,2021-01-25,133.2364044189453,139.1258087158203,1.0,0.04420266609984836,4
132,2021-01-28,2021-01-29,133.45062255859375,128.456787109375,1.0,-0.03742084790219785,1
133,2021-02-05,2021-02-08,133.32827758789062,133.47450256347656,1.0,0.0010967289027606715,3
134,2021-02-25,2021-03-01,117.95398712158203,124.58336639404297,1.0,0.05620309609057684,4
135,2021-03-08,2021-03-09,113.44017791748047,118.0514907836914,1.0,0.040649732315876076,1
136,2021-04-06,2021-04-09,123.04300689697266,129.66262817382812,1.0,0.05379924827746011,3
137,2021-07-01,2021-07-07,134.0527801513672,141.18170166015625,1.0,0.05317996016747554,6
138,2021-07-08,2021-07-09,139.8828582763672,141.70904541015625,1.0,0.01305511737672,1
139,2021-07-12,2021-07-14,141.11334228515625,145.6543731689453,1.0,0.0321800250086397,2
140,2021-07-19,2021-07-20,139.11138916015625,142.72467041015625,1.0,0.02597401457791568,1
141,2021-07-21,2021-07-23,141.99224853515625,145.07814025878906,1.0,0.02173281820288076,2
142,2021-07-28,2021-08-03,141.58209228515625,143.90631103515625,1.0,0.01641605031036595,6
143,2021-08-04,2021-08-05,143.50588989257812,143.61338806152344,1.0,0.0007490854140257286,1
144,2021-08-10,2021-08-16,142.40057373046875,147.79930114746094,1.0,0.03791225888745874,6
145,2021-08-19,2021-08-23,143.47642517089844,146.42031860351562,1.0,0.020518307653056178,4
146,2021-08-27,2021-08-30,145.3346710205078,149.7553253173828,1.0,0.030417066112539744,3
147,2021-08-31,2021-09-02,148.49368286132812,150.27369689941406,1.0,0.011987136447738429,2
148,2021-09-20,2021-09-21,139.799072265625,140.2782745361328,1.0,0.003427792922669079,1
